GameNum;GLOBAL_ALPHA;EPSILON;SUCESSRATE;TIME;
0;0,00060;0,20000;-0,86750;03.226;
1000;0,00060;0,20000;-0,54000;11.394;
2000;0,00060;0,20000;-0,42250;19.701;
3000;0,00060;0,20000;-0,72500;28.639;
4000;0,00060;0,20000;-0,25500;38.088;
5000;0,00060;0,20000;-0,49500;47.017;
6000;0,00060;0,20000;-0,44000;55.682;
7000;0,00060;0,20000;-0,14000;01:04.102;
8000;0,00060;0,20000;-0,03500;01:12.436;
9000;0,00060;0,20000;-0,20750;01:20.938;
10000;0,00060;0,20000;-0,13500;01:29.476;
11000;0,00060;0,20000;-0,11000;01:38.232;
12000;0,00060;0,20000;-0,06500;01:46.233;
13000;0,00060;0,20000;-0,09750;01:55.017;
14000;0,00060;0,20000;-0,20250;02:03.810;
15000;0,00060;0,20000;-0,07250;02:12.174;
16000;0,00060;0,20000;-0,11750;02:20.789;
17000;0,00060;0,20000;-0,18000;02:28.967;
18000;0,00060;0,20000;-0,25500;02:38.787;
19000;0,00060;0,20000;-0,26000;02:47.513;
20000;0,00060;0,20000;-0,08750;02:55.991;
21000;0,00060;0,20000;-0,05250;03:04.578;
22000;0,00060;0,20000;-0,04750;03:12.753;
23000;0,00060;0,20000;-0,21250;03:21.175;
24000;0,00060;0,20000;-0,21500;03:29.833;
25000;0,00060;0,20000;-0,24250;03:38.389;
26000;0,00060;0,20000;0,00000;03:46.625;
27000;0,00060;0,20000;-0,12750;03:55.051;
28000;0,00060;0,20000;-0,09500;04:03.318;
29000;0,00060;0,20000;-0,18500;04:11.838;
30000;0,00060;0,20000;-0,15500;04:20.776;
31000;0,00060;0,20000;-0,25000;04:29.027;
32000;0,00060;0,20000;-0,05750;04:36.646;
33000;0,00060;0,20000;-0,37500;04:44.680;
34000;0,00060;0,20000;-0,35250;04:53.276;
35000;0,00060;0,20000;-0,32250;05:01.623;
36000;0,00060;0,20000;-0,02250;05:10.707;
37000;0,00060;0,20000;-0,01000;05:19.613;
38000;0,00060;0,20000;-0,08250;05:28.820;
39000;0,00060;0,20000;-0,21000;05:37.455;
40000;0,00060;0,20000;-0,06500;05:46.527;
41000;0,00060;0,20000;-0,21500;05:55.646;
42000;0,00060;0,20000;-0,17500;06:04.130;
43000;0,00060;0,20000;-0,12500;06:12.323;
44000;0,00060;0,20000;-0,27000;06:20.501;
